	0	1	2	3	4	5
247			231	2310		Sản xuất thuỷ tinh và sản phẩm từ thuỷ tinh
248					23101	Sản xuất thủy tinh phẳng và sản phẩm từ thủy tinh phẳng
249					23102	Sản xuất thủy tinh rỗng và sản phẩm từ thủy tinh rỗng
250					23103	Sản xuất sợi thủy tinh và sản phẩm từ sợi thủy tinh
251					23109	Sản xuất thủy tinh khác và các sản phẩm từ thủy tinh
252			239			Sản xuất sản phẩm từ khoáng phi kim loại chưa được phân vào đâu
253				2391	23910	Sản xuất sản phẩm chịu lửa
254				2392	23920	Sản xuất vật liệu xây dựng từ đất sét
255				2393	23930	Sản xuất sản phẩm gốm sứ khác
256				2394		Sản xuất xi măng, vôi và thạch cao
257					23941	Sản xuất xi măng
258					23942	Sản xuất vôi
259					23943	Sản xuất thạch cao
260				2395	23950	Sản xuất bê tông và các sản phẩm từ bê tông, xi măng và thạch cao
261				2396	23960	Cắt tạo dáng và hoàn thiện đá
262				2399	23990	Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu
263		24				Sản xuất kim loại
264			241	2410	24100	Sản xuất sắt, thép, gang
265			242	2420		Sản xuất kim loại quý và kim loại màu
266					24201	Sản xuất kim loại quý
267					24202	Sản xuất kim loại màu
268			243			Đúc kim loại
269				2431	24310	Đúc sắt, thép
270				2432	24320	Đúc kim loại màu
271		25				Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)
272			251			Sản xuất các cấu kiện kim loại, thùng, bể chứa và nồi hơi
273				2511	25110	Sản xuất các cấu kiện kim loại
274				2512	25120	Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại
275				2513	25130	Sản xuất nồi hơi (trừ nồi hơi trung tâm)
276			252	2520	25200	Sản xuất vũ khí và đạn dược
277			259			Sản xuất sản phẩm khác bằng kim loại; các dịch vụ xử lý, gia công kim loại
278				2591	25910	Rèn, dập, ép và cán kim loại; luyện bột kim loại
279				2592	25920	Gia công cơ khí; xử lý và tráng phủ kim loại
280				2593	25930	Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng
281				2599		Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu
282					25991	Sản xuất đồ dùng bằng kim loại cho nhà bếp, nhà vệ sinh và nhà ăn
283					25999	Sản xuất sản phẩm khác còn lại bằng kim loại chưa được phân vào đâu
284		26				Sản xuất sản phẩm điện tử, máy vi tính và sản phẩm quang học
285			261	2610	26100	Sản xuất linh kiện điện tử
286			262	2620	26200	Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính
287			263	2630	26300	Sản xuất thiết bị truyền thông
288			264	2640	26400	Sản xuất sản phẩm điện tử dân dụng
